Resistor 1:,"Yellow, Purple, Maroon Markings",,,,,
Power Supply,,Multimeter,,,,
PS Voltage (V),Current (mA),Voltage (V) (Fluke),Voltage (V) (Fluke) Uncertainty,Current (mA) (Extech),Current (mA) (Extech) Uncertainty,ΔV (V)
1.0,3,0.56,0.003,1.19,0.018,0.4
2.5,5,2.25,0.011,4.82,0.072,0.25
4.0,5,3.73,0.019,7.98,0.120,0.3
6.0,10,5.76,0.029,12.35,0.185,0.2
7.0,15,6.70,0.034,14.36,0.215,0.30
8.0,18,7.59,0.038,16.27,0.244,0.4
10.0,20,9.59,0.048,20.59,0.309,0.4
12.0,25,11.47,0.057,24.64,0.370,0.5
13.0,25,12.47,0.062,26.79,0.402,0.5
15.0,30,14.57,0.073,31.32,0.470,0.4
