Resistor 2:,"Gold, Orange, Maroon Markings",,,,,
Power Supply,,Multimeter,,,,
Voltage (V),Current (mA),Voltage (V) (Fluke),Voltage (V) (Fluke) Uncertainty,Current (mA) (Extech),Current (mA) (Extech) Uncertainty,ΔV (V)
1.0,3,0.641,0.003,1.97,0.030,0.359
3.0,7,2.801,0.014,8.59,0.129,0.199
4.5,15,4.17,0.021,12.79,0.192,0.330
5.5,18,5.22,0.026,16.03,0.240,0.280
7.0,20,6.70,0.034,20.60,0.309,0.300
8.5,23,8.13,0.041,25.04,0.376,0.370
10.0,28,9.57,0.048,29.47,0.442,0.430
11.5,35,10.99,0.055,33.89,0.508,0.510
13.0,39,12.43,0.062,38.41,0.576,0.570
15.0,42,14.42,0.072,44.20,0.663,0.580
